name_of_contributor,payment_type,city,state,zip,id_number,employer,occupation,amount,transaction_date,filed_date,transaction_number,committee_name,position
TOOLEY OIL COMPANY,MONETARY,SACRAMENTO,CA,95815,,,,10000,12/19/2019,1/28/2020,2437000 - INC10,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2020",oppose
TORO PETROLEUM CORPORATION,MONETARY,SALINAS,CA,93901,,,,5000,12/19/2019,1/28/2020,2437000 - INC11,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2021",oppose
VALLEY PACIFIC PETROLEUM SERVICES,MONETARY,STOCKTON,CA,95206,,,,20000,12/19/2019,1/28/2020,2437000 - INC13,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2022",oppose
"VINTNERS DISTRIBUTORS, INC.",MONETARY,FREMONT,CA,94538,,,,5000,12/19/2019,1/28/2020,2437000 - INC3,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2023",oppose
CALIFORNIA FUELS & CONVENIENCE ALLIANCE,MONETARY,SACRAMENTO,CA,95833,,,,5000,12/19/2019,1/28/2020,2437000 - INC4,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2024",oppose
"M & D DEVELOPMENT, LLC",MONETARY,CORONA,CA,92879,,,,10000,12/19/2019,1/28/2020,2437000 - INC5,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2025",oppose
DOWNS ENERGY,MONETARY,CORONA,CA,92879,,,,10000,12/19/2019,1/28/2020,2437000 - INC6,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2026",oppose
"J.B. DEWAR, INC.",MONETARY,SAN LUIS OBISPO,CA,93403,,,,250,12/19/2019,1/28/2020,2437000 - INC7,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2027",oppose
MJ TANK LINES,MONETARY,VENTURA,CA,93001,,,,2500,12/19/2019,1/28/2020,2437000 - INC8,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2028",oppose
NATIONAL PETROLEUM,MONETARY,NEWARK,CA,94560,,,,7000,12/19/2019,1/28/2020,2437000 - INC9,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2029",oppose
CALIFORNIA FUELS & CONVENIENCE ALLIANCE,NON-MONETARY,SACRAMENTO,CA,95833,,,,310,8/31/2020,9/23/2020,2504423 - NON19,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2030",oppose
ROBINSON OIL CORPORATION,MONETARY,SANTA CLARA,CA,95050,,,,5000,3/7/2020,7/14/2020,2478402 - INC14,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2031",oppose
CALIFORNIA FUELS & CONVENIENCE ALLIANCE,NON-MONETARY,SACRAMENTO,CA,95833,,,,50,1/15/2020,7/14/2020,2478402 - NON12,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2032",oppose
CALIFORNIA FUELS & CONVENIENCE ALLIANCE,NON-MONETARY,SACRAMENTO,CA,95833,,,,784,3/6/2020,7/14/2020,2478402 - NON18,"CALIFORNIA FUELS & CONVENIENCE ALLIANCE (NON-PROFIT 501 (C) (6), NO ON AG-19-008 - THE SCHOOLS AND LOCAL COMMUNITIES FUNDING ACT OF 2033",oppose
